Cardiac_Mesoderm,Cardiomyocytes,Definitive_Endoderm,Endocardial,Epicardial,Extraembryonic_Mesoderm,Fibroblasts,Foregut_Epithelium,Primitive_Streak,Smooth_Muscle,iPSCs
BMPER,SLC8A1,FAM184A,EGFL7,COL3A1,ARHGAP29,PRTG,CDH6,GRID2,COL1A1,SFRP2
HAS2,PDLIM5,PCAT14,FLI1,ZNRF2P2,TPM1,VIM,AMBP,SFRP2,COL6A2,CTD-2306M5.1
DSCAM,RYR2,LAMA1,KDR,COL1A1,VTCN1,HAS2,TTR,GAL,COL1A2,RP11-415G4.1
HS3ST3A1,MYL4,SERPINE2,TFPI,COBLL1,IGFBP7,TMEM88,SPINK1,HMGA1,VIM,RP11-436D23.1
DYNC1I1,CTNNA3,FN1,FLT1,SOX6,S100A11,BMPER,ONECUT2,HSP90AA1,ZFPM2,CD9
P3H2,MYL7,RP11-114G22.1,RAMP2,AKAP12,FBLN1,CGNL1,GPC3,RAN,ZEB2,XACT
AC107218.3,TNNI1,APOE,MEF2C,BNC2,KCNMA1,RHOBTB3,ANXA4,SET,COL5A2,GALNT17
ALPK2,PLN,LINC00348,CALCRL,TMEM98,ANXA2,BAMBI,SAT1,H2AZ1,PDZRN4,DPPA4
FBN2,ACTC1,PRDM1,NCKAP5,SEPTIN7,PTN,RGS5,APOA1,GALNT17,IL6ST,SEMA6A
CDH11,CHRM2,FGF13,RASGRP3,SLC9A3R1,EPAS1,DYNC1I1,CKB,CD9,FREM1,ADCY2
FAM89A,TPM1,EPCAM,LDB2,ARHGAP6,KRT18,FAM89A,APOE,HSPD1,IGFBP7,PTPRZ1
ROR2,MYOM1,ID1,ETS1,CCDC80,TGFBI,TENM4,LYPD6B,PMAIP1,COL6A3,L1TD1
CRABP2,FILIP1,ARHGAP24,RDX,EZR,MDK,ALPK2,CLU,RP11-436D23.1,CDH11,SYT1
LINC00458,PALLD,GATA3,VAV3,COL1A2,WNT6,TNC,FTL,MT-CO2,COLEC11,TKT
NRG2,MYBPC3,PEG10,CRHBP,PLXNA2,KRT8,UNC5C,LGALS3,C1QBP,SPARC,TUBB2B
ELMO1,ACTN2,SLC2A3,LMO2,TMEM88,ANKS1A,CDK6,EPCAM,MT-ND4,FBN1,GABRB3
PLCB1,TNNC1,APOA1,HAPLN1,LEPROTL1,COL3A1,CRABP2,PARD3B,MT-CO3,COL6A1,SEPHS1
CADM1,SORBS2,COL4A6,DYSF,MYH10,COL12A1,MEIS1,S100A10,MGST1,FN1,AC005062.2
CHST11,MYH6,MGAT5,PIP4K2A,SOX5,ADAMTS6,BNC2,CD24,MT-ATP6,TIMP1,RIMS2
