names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,celltypes
SERPINE2,90.91335,3.1879783,0.0,0.0,0.8865269764146169,0.41684184493631754,Definitive_Endoderm
PTPN13,84.83041,2.5587862,0.0,0.0,0.8617268954347606,0.4466427599851614,Definitive_Endoderm
FAM184A,81.46231,2.662675,0.0,0.0,0.8144549043425447,0.31884505997279583,Definitive_Endoderm
PCAT14,80.14463,2.649312,0.0,0.0,0.7968417856058305,0.296030666501793,Definitive_Endoderm
COLEC12,79.07932,2.7738235,0.0,0.0,0.8174916489523231,0.26536416470879187,Definitive_Endoderm
MT-CO3,79.02222,1.4153844,0.0,0.0,0.9949387589837028,0.9811425745022876,Definitive_Endoderm
RP11-114G22.1,78.162674,2.8524022,0.0,0.0,0.7916793197692074,0.3119821936441202,Definitive_Endoderm
CTSV,76.75661,2.3646731,0.0,0.0,0.7864156291122584,0.3558798070978113,Definitive_Endoderm
RPS16,73.51003,0.8709409,0.0,0.0,0.9590039477679927,0.9651910473599604,Definitive_Endoderm
MT-RNR1,72.70552,1.1873088,0.0,0.0,0.9944326348820731,0.9583900086558674,Definitive_Endoderm
MIR302CHG,72.53557,2.7785583,0.0,0.0,0.7286162567061444,0.1833189068875974,Definitive_Endoderm
COL4A6,71.279175,1.8180469,0.0,0.0,0.8470492964874987,0.5541609991344133,Definitive_Endoderm
FGFR1,71.21945,2.1277692,0.0,0.0,0.8672942605526875,0.42753802398911833,Definitive_Endoderm
FRY,70.62769,3.0753736,0.0,0.0,0.6432837331713737,0.20415481637195498,Definitive_Endoderm
GATA3,70.050804,2.5505047,0.0,0.0,0.6997671829132504,0.24576480771608755,Definitive_Endoderm
MT-ND1,69.72717,1.4065275,0.0,0.0,0.9886628201234943,0.9153579819463337,Definitive_Endoderm
MT-CO2,68.373116,0.82810223,0.0,0.0,0.9967608057495698,0.9949301347842215,Definitive_Endoderm
MT-ND4,66.69563,1.1208591,0.0,0.0,0.9967608057495698,0.981266229751453,Definitive_Endoderm
PEG10,66.47714,1.9634799,0.0,0.0,0.8118230590140703,0.5447013725732658,Definitive_Endoderm
SFRP1,66.03747,2.1669052,0.0,0.0,0.7511893916388298,0.3406083838258934,Definitive_Endoderm
RP11-419I17.1,65.34744,2.2367687,0.0,0.0,0.7211256200020245,0.31593916161741065,Definitive_Endoderm
ADAMTS12,64.69283,2.1059816,0.0,0.0,0.7255795120963661,0.3209471992086064,Definitive_Endoderm
ARHGAP24,64.18818,1.9580519,0.0,0.0,0.768802510375544,0.43977989365648573,Definitive_Endoderm
AL163953.3,64.17381,2.6383786,0.0,0.0,0.6586699058609171,0.26758995919376777,Definitive_Endoderm
RPLP2,62.482292,0.632321,0.0,0.0,0.9659884603704828,0.9794732286385557,Definitive_Endoderm
MGAT5,62.210697,1.9084393,0.0,0.0,0.7618179977730539,0.4455298627426734,Definitive_Endoderm
FBN2,60.836105,1.9120631,0.0,0.0,0.7451159024192732,0.34209224681587735,Definitive_Endoderm
MT-ATP6,60.606747,1.1189631,0.0,0.0,0.9901811924283834,0.9383578582910844,Definitive_Endoderm
LINC01356,60.19035,2.23495,0.0,0.0,0.6558356108917907,0.23018424632125634,Definitive_Endoderm
RPS6,59.74956,0.54298717,0.0,0.0,0.9697337787225427,0.9906022010634351,Definitive_Endoderm
HMGA1,59.52154,1.1764635,0.0,0.0,0.8836926814454904,0.7435390132311117,Definitive_Endoderm
FGF13,59.245167,1.7738687,0.0,0.0,0.7813543880959611,0.45876097440336344,Definitive_Endoderm
MT-ND3,58.272255,0.8878441,0.0,0.0,0.9940277356007693,0.9792877457648077,Definitive_Endoderm
NASP,57.80774,1.4115286,0.0,0.0,0.8052434456928839,0.5994806479535056,Definitive_Endoderm
HELLS,57.622723,2.0779796,0.0,0.0,0.6381212673347505,0.27834796587115124,Definitive_Endoderm
RPLP1,57.59874,0.44925037,0.0,0.0,0.9679117319566758,0.9897984419438605,Definitive_Endoderm
FGD6,57.496834,1.6066259,0.0,0.0,0.7389411883793906,0.4915914430567578,Definitive_Endoderm
RPL19,57.42735,0.5872542,0.0,0.0,0.9670007085737423,0.9828119203660195,Definitive_Endoderm
SSBP3,57.07561,1.3488404,0.0,0.0,0.8234639133515538,0.6246444911586497,Definitive_Endoderm
ANK3,57.034054,1.4276469,0.0,0.0,0.8326753720012147,0.6261901817732163,Definitive_Endoderm
RPS23,56.531193,0.49551365,0.0,0.0,0.9660896851908087,0.9879436132063806,Definitive_Endoderm
MCC,56.17173,1.5858316,0.0,0.0,0.7463306002631845,0.4691480153332509,Definitive_Endoderm
CCKBR,55.975132,2.3998072,0.0,0.0,0.5585585585585585,0.19358229256831952,Definitive_Endoderm
RPS11,55.91824,0.64081144,0.0,0.0,0.9599149711509262,0.9692716705824163,Definitive_Endoderm
GJA1,54.99913,1.6051008,0.0,0.0,0.7825690859398725,0.42073698528502534,Definitive_Endoderm
FERMT2,54.628376,1.7730716,0.0,0.0,0.660795627087762,0.35155187337702487,Definitive_Endoderm
LRRTM4,54.472717,1.9808834,0.0,0.0,0.6561392853527686,0.33770248547050824,Definitive_Endoderm
NRCAM,54.106583,2.0795262,0.0,0.0,0.6161554813240206,0.2684555459379251,Definitive_Endoderm
DSCAM,53.800835,2.1545374,0.0,0.0,0.5878125316327564,0.20879188821565475,Definitive_Endoderm
MAPK10,53.414215,1.9680234,0.0,0.0,0.617471403988258,0.29609249412637567,Definitive_Endoderm
ROR2,53.401222,1.26196,0.0,0.0,0.8331814961028444,0.6323111166069,Definitive_Endoderm
AGL,53.275692,1.6476675,0.0,0.0,0.6687923878935115,0.38871027575120565,Definitive_Endoderm
NRXN3,52.87435,1.8147839,0.0,0.0,0.653406215203968,0.35958946457277113,Definitive_Endoderm
POT1-AS1,52.559128,2.156704,0.0,0.0,0.5790059722643992,0.2261654507233832,Definitive_Endoderm
RPS27A,52.342155,0.68392015,0.0,0.0,0.9394675574450856,0.9331643378261407,Definitive_Endoderm
COL23A1,52.122337,2.601917,0.0,0.0,0.5036947059418969,0.1558056139483121,Definitive_Endoderm
ROR1,52.101143,1.2604104,0.0,0.0,0.8250835104767689,0.6423890194138742,Definitive_Endoderm
PRKDC,52.03197,1.1592796,0.0,0.0,0.8102034618888552,0.6552491653270681,Definitive_Endoderm
NUCKS1,51.76544,0.9222815,0.0,0.0,0.8986739548537301,0.8252133053048102,Definitive_Endoderm
LAPTM4B,51.753307,1.0933552,0.0,0.0,0.8666869116307319,0.7402003215036478,Definitive_Endoderm
SALL1,51.72041,2.7695668,0.0,0.0,0.4796031987043223,0.12600469889946828,Definitive_Endoderm
RPL23A,51.69641,0.919309,0.0,0.0,0.9026217228464419,0.8216273030790157,Definitive_Endoderm
ELMO1,51.446617,1.6924287,0.0,0.0,0.6609980767284138,0.3532212192407568,Definitive_Endoderm
RPL13,51.18784,0.4184369,0.0,0.0,0.9688227553396093,0.9915914430567577,Definitive_Endoderm
RPL4,51.13402,0.8700683,0.0,0.0,0.8912845429699362,0.8108692964016323,Definitive_Endoderm
SEMA3E,50.49476,3.2364738,0.0,0.0,0.44579410871545705,0.09150488438234203,Definitive_Endoderm
NEO1,50.22376,1.3597692,0.0,0.0,0.7268954347606033,0.5110053171757141,Definitive_Endoderm
CELF2,49.994076,2.190579,0.0,0.0,0.5417552383844518,0.22987510819834303,Definitive_Endoderm
METAP2,49.867657,1.1536667,0.0,0.0,0.765360866484462,0.6186472115741313,Definitive_Endoderm
SMAD9,49.645267,1.7847766,0.0,0.0,0.5933798967506833,0.2959688388772103,Definitive_Endoderm
RPS14,49.572765,0.31461257,0.0,0.0,0.9689239801599352,0.9918387535550884,Definitive_Endoderm
FBLN2,49.376465,2.141692,0.0,0.0,0.5298107095859905,0.18511190800049462,Definitive_Endoderm
TUBA1B,49.240105,1.2961158,0.0,0.0,0.7891486992610588,0.6463459873871645,Definitive_Endoderm
ENO1,49.153015,0.93193233,0.0,0.0,0.8822755339609272,0.7784716211203165,Definitive_Endoderm
ZNF611,48.986343,1.449988,0.0,0.0,0.6800283429496913,0.4197477432917027,Definitive_Endoderm
SRSF3,48.71801,0.9315786,0.0,0.0,0.8601072983095455,0.7615926796092494,Definitive_Endoderm
RPSA,48.570675,0.6816948,0.0,0.0,0.9258022067010832,0.9021886979102263,Definitive_Endoderm
RP11-40F8.2,48.50949,2.012181,0.0,0.0,0.5712116610993015,0.2779770001236552,Definitive_Endoderm
RPLP0,48.017242,0.5975598,0.0,0.0,0.9394675574450856,0.9359465809323606,Definitive_Endoderm
RPL11,48.00529,0.33090347,0.0,0.0,0.971150926207106,0.9938790651663163,Definitive_Endoderm
UQCRH,47.879303,0.68647844,0.0,0.0,0.922360562810001,0.8914925188574255,Definitive_Endoderm
DDHD1,47.85821,1.867996,0.0,0.0,0.5685798157708271,0.288673179176456,Definitive_Endoderm
MTATP6P1,47.775284,0.97828317,0.0,0.0,0.9375442858588926,0.8388772103375788,Definitive_Endoderm
ADAMTS19,47.170956,1.4864703,0.0,0.0,0.6862030569895738,0.41331767033510575,Definitive_Endoderm
FIRRE,47.07835,1.8000823,0.0,0.0,0.5608867294260552,0.26338568072214663,Definitive_Endoderm
MT-CYB,47.06998,0.5771557,0.0,0.0,0.9949387589837028,0.9904785458142699,Definitive_Endoderm
SRSF2,46.952423,1.1424513,0.0,0.0,0.7492661200526369,0.5945962656114752,Definitive_Endoderm
LIN28A,46.158733,1.5282611,0.0,0.0,0.6080574956979451,0.32644985779646346,Definitive_Endoderm
ARHGAP28,46.06319,1.7707838,0.0,0.0,0.5645308229577892,0.27327810065537284,Definitive_Endoderm
RANBP1,45.728394,1.0948069,0.0,0.0,0.7551371596315416,0.6143811054779276,Definitive_Endoderm
HAS2,45.67765,2.0112498,0.0,0.0,0.48891588217430915,0.1471497465067392,Definitive_Endoderm
TIAM1,45.60015,1.585351,0.0,0.0,0.5948982690555724,0.29906022010634353,Definitive_Endoderm
C1QBP,45.348595,0.9880935,0.0,0.0,0.78337888450248,0.6538271299616669,Definitive_Endoderm
CRABP2,45.34148,2.1838498,0.0,0.0,0.4856766879238789,0.190923704711265,Definitive_Endoderm
RPS5,45.191017,0.44253075,0.0,0.0,0.9619394675574451,0.9795350562631384,Definitive_Endoderm
RPS13,44.9897,0.4381464,0.0,0.0,0.9538414819313695,0.974279708173612,Definitive_Endoderm
RPL18,44.81403,0.29599607,0.0,0.0,0.965786010729831,0.9912204773092618,Definitive_Endoderm
RPS12,44.614082,0.37580398,0.0,0.0,0.9591051725883186,0.9844812662297514,Definitive_Endoderm
HMGB2,44.420624,1.7951007,0.0,0.0,0.5517764955967203,0.26882651168542104,Definitive_Endoderm
SMAD6,44.296326,1.3226417,0.0,0.0,0.6888349023180483,0.44361320638061086,Definitive_Endoderm
CDH6,117.14376,4.623337,0.0,0.0,0.9330269847477513,0.23450236966824645,Foregut_Epithelium
ONECUT2,113.47533,6.3293514,0.0,0.0,0.8560813453265546,0.04878357030015798,Foregut_Epithelium
