names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,celltypes
GRID2,172.05128,5.159921,0.0,0.0,0.9956696566656357,0.2786663312127856,iPSCs_0
SFRP2,153.24864,4.246099,0.0,0.0,0.9487318280235075,0.16232373695623525,iPSCs_0
CTD-2306M5.1,147.4601,3.8379977,0.0,0.0,0.93836993504485,0.2728557907726222,iPSCs_0
RP11-415G4.1,147.40752,4.9164295,0.0,0.0,0.8594958243117847,0.07317686805880028,iPSCs_0
RP11-436D23.1,143.4214,3.5873837,0.0,0.0,0.9220538199814414,0.23696222549689105,iPSCs_0
CD9,141.3488,3.3931394,0.0,0.0,0.9295545932570368,0.2389390072961219,iPSCs_0
XACT,140.98782,3.6987455,0.0,0.0,0.9283173523043613,0.26799170949693896,iPSCs_0
GALNT17,140.6903,3.4472063,0.0,0.0,0.9218218373028148,0.24942194107992188,iPSCs_0
DPPA4,137.4916,3.6261954,0.0,0.0,0.8656820290751623,0.17594556062729877,iPSCs_0
SEMA6A,133.18678,2.5888174,0.0,0.0,0.9369007114135478,0.4667002120547748,iPSCs_0
ADCY2,131.74039,3.2756538,0.0,0.0,0.8854005567584287,0.27746828163749415,iPSCs_0
PTPRZ1,130.57472,3.5528185,0.0,0.0,0.8240024744819053,0.16503132899639386,iPSCs_0
L1TD1,130.26442,2.8096545,0.0,0.0,0.9337302814723167,0.361044220009824,iPSCs_0
SYT1,129.3365,2.9940262,0.0,0.0,0.8772038354469532,0.3313565515341025,iPSCs_0
TKT,128.20287,2.1667457,0.0,0.0,0.9604856170739251,0.6042243228024776,iPSCs_0
TUBB2B,128.06964,2.814482,0.0,0.0,0.9631147540983607,0.448513819501851,iPSCs_0
GABRB3,127.04352,3.4323316,0.0,0.0,0.8203680791834209,0.1971630186057099,iPSCs_0
SEPHS1,126.33115,2.8516681,0.0,0.0,0.8642128054438601,0.3174831374522278,iPSCs_0
AC005062.2,125.66409,4.000766,0.0,0.0,0.7635323229198886,0.11752866333608884,iPSCs_0
RIMS2,125.03318,2.9910102,0.0,0.0,0.866919270027838,0.26494866357569874,iPSCs_0
UCHL1,122.073845,2.9626303,0.0,0.0,0.8373801422827095,0.22550887155710503,iPSCs_0
IGFBP2,122.03291,2.6597822,0.0,0.0,0.9476492421899165,0.45211994872347816,iPSCs_0
LINC00678,120.97919,4.8149214,0.0,0.0,0.7036807918342097,0.047131270291964684,iPSCs_0
VASH2,120.23903,4.2504992,0.0,0.0,0.7218527683266316,0.09277695911056799,iPSCs_0
LDB2,117.68311,2.6016572,0.0,0.0,0.8863284874729354,0.3084258826630246,iPSCs_0
PCDH11X,117.55424,3.6753354,0.0,0.0,0.7355397463656047,0.11205357677700703,iPSCs_0
HMGA1,117.32448,1.8265823,0.0,0.0,0.9798948345190226,0.7056272388551438,iPSCs_0
PMAIP1,116.66346,2.9950588,0.0,0.0,0.7988710176306836,0.19195150295319222,iPSCs_0
JARID2,114.81904,2.2181673,0.0,0.0,0.8951438292607485,0.5241347086942457,iPSCs_0
GAPDH,113.99042,1.2807986,0.0,0.0,0.995437673987009,0.9557320681929818,iPSCs_0
HSPD1,113.6676,1.5261381,0.0,0.0,0.9836838849365914,0.7938516095796044,iPSCs_0
DNMT3B,113.32122,2.8401446,0.0,0.0,0.776987318280235,0.22827636607602822,iPSCs_0
PVT1,112.79479,2.63212,0.0,0.0,0.8160377358490566,0.2674046652050462,iPSCs_0
RAN,112.31262,1.4499468,0.0,0.0,0.9865450046396536,0.8382393463441518,iPSCs_0
SHISA9,110.93586,2.9996974,0.0,0.0,0.7565728425610888,0.18796199786747175,iPSCs_0
MGST1,110.58472,1.8634106,0.0,0.0,0.9575471698113207,0.5920761001090226,iPSCs_0
RMST,108.92595,4.2959037,0.0,0.0,0.6456077946180019,0.0622746169236483,iPSCs_0
MIR302CHG,107.80816,2.5232525,0.0,0.0,0.8791370244355088,0.3181899867016497,iPSCs_0
PGK1,107.541466,2.0022373,0.0,0.0,0.9107639962882771,0.5831146892858426,iPSCs_0
RP11-213B3.1,106.92558,3.4910462,0.0,0.0,0.6738323538509124,0.11065185877391606,iPSCs_0
TPI1,106.38828,1.4446875,0.0,0.0,0.9732446643983916,0.8080844385340665,iPSCs_0
PTMA,105.2902,1.3075998,0.0,0.0,0.9904113826167646,0.8834058153326385,iPSCs_0
H2AZ1,104.02188,1.57194,0.0,0.0,0.9905660377358491,0.8341300363009021,iPSCs_0
SET,103.78189,1.367957,0.0,0.0,0.9836838849365914,0.814997184583498,iPSCs_0
RPL39L,103.7335,2.5156627,0.0,0.0,0.7523198267862666,0.26098311948148417,iPSCs_0
CBR1,103.54117,2.6759782,0.0,0.0,0.7388648314259202,0.19942733230301068,iPSCs_0
RARRES2,103.43418,2.6791267,0.0,0.0,0.7356944014846891,0.20147599707675903,iPSCs_0
CRABP1,102.84234,2.735427,0.0,0.0,0.7268017321373338,0.17317806610837558,iPSCs_0
CYCS,101.02712,1.7553037,0.0,0.0,0.9160995978966904,0.5692173142124621,iPSCs_0
SNTG2,100.83963,3.5570111,0.0,0.0,0.6290596968759666,0.09973762714301118,iPSCs_0
LINC01194,100.759766,4.576855,0.0,0.0,0.5925610887720384,0.05023421869196947,iPSCs_0
PRDX1,100.658775,1.27583,0.0,0.0,0.9904113826167646,0.8864608417496316,iPSCs_0
ENO1,100.44046,1.4358395,0.0,0.0,0.9798948345190226,0.7965232601325043,iPSCs_0
TERF1,99.89246,2.2175426,0.0,0.0,0.8021961026909991,0.3810636284129437,iPSCs_0
PTGES3,99.3295,1.3070681,0.0,0.0,0.9677544076708939,0.782601924067618,iPSCs_0
DNAJB6,99.030846,1.7311238,0.0,0.0,0.8729508196721312,0.5266625932981107,iPSCs_0
C1QBP,98.80305,1.5455457,0.0,0.0,0.9443241571296009,0.6539553606728247,iPSCs_0
MT-ND4,98.62448,1.1026514,0.0,0.0,0.9995360346427467,0.9927398195737339,iPSCs_0
PSAT1,98.1023,2.3307877,0.0,0.0,0.7618311166099598,0.2714301117780254,iPSCs_0
THY1,97.779785,3.2445734,0.0,0.0,0.6412001237240953,0.1294971785932502,iPSCs_0
PTPRG,97.3538,1.4959805,0.0,0.0,0.9888648314259202,0.782601924067618,iPSCs_0
U91319.1,96.03179,2.9647658,0.0,0.0,0.6456077946180019,0.141118259473577,iPSCs_0
PARP1,95.81855,1.7500732,0.0,0.0,0.844880915558305,0.47219925960536246,iPSCs_0
DLGAP1,95.56208,1.8243438,0.0,0.0,0.8997834828332818,0.4656818699157771,iPSCs_0
TMEM132B,95.42915,3.4072459,0.0,0.0,0.6059387565728426,0.10082785225652638,iPSCs_0
GAL,95.32702,2.7392635,0.0,0.0,0.6912310547479121,0.16988342977632415,iPSCs_0
NLGN4X,95.29869,2.4544535,0.0,0.0,0.7085524280853697,0.2371658939246906,iPSCs_0
PEBP1,95.18323,1.3742422,0.0,0.0,0.9588617383235385,0.7450790113694905,iPSCs_0
ANKRD18CP,94.66808,3.2258344,0.0,0.0,0.6094958243117847,0.1100049120032587,iPSCs_0
UGP2,93.92409,1.7178019,0.0,0.0,0.8818434890194865,0.5095544453629491,iPSCs_0
NLGN1,93.90758,2.2338603,0.0,0.0,0.7445097432725023,0.25505277408379157,iPSCs_0
TMSB4X,93.31194,1.6921388,0.0,0.0,0.9938137952366223,0.8177167571194096,iPSCs_0
RP11-256I9.2,93.10984,3.026098,0.0,0.0,0.6152180637179091,0.10839952557236819,iPSCs_0
CASC15,93.09894,1.8182108,0.0,0.0,0.9198886483142592,0.48378439899843056,iPSCs_0
NPM1,92.13582,1.2492013,0.0,0.0,0.972703371481596,0.7861960727934922,iPSCs_0
RPL8,91.340065,0.7466545,0.0,0.0,0.9961336220228889,0.9840659406486241,iPSCs_0
BNIP3,90.98516,1.9390019,0.0,0.0,0.8046705845963501,0.4685571888964765,iPSCs_0
ANK2,90.396675,1.873461,0.0,0.0,0.8492885864522116,0.4279912302771089,iPSCs_0
SNHG14,89.8404,1.2969995,0.0,0.0,0.964661305289205,0.7796307611208951,iPSCs_0
FRMD5,89.82312,2.6632233,0.0,0.0,0.6296009897927621,0.15860978327283182,iPSCs_0
PCNX2,89.798904,2.1623237,0.0,0.0,0.7056913083823074,0.2771567887479184,iPSCs_0
HMGB3,89.47562,1.8344138,0.0,0.0,0.7897463656047015,0.37252153494111584,iPSCs_0
MTHFD2,89.40054,2.0929348,0.0,0.0,0.7237859573151871,0.2824641483664594,iPSCs_0
RP11-485F13.1,89.1459,1.8600947,0.0,0.0,0.7996442932261058,0.40615078651954617,iPSCs_0
PHC1,88.91522,2.7768886,0.0,0.0,0.6086452211568203,0.15045106566509722,iPSCs_0
TOMM7,88.76183,1.2304652,0.0,0.0,0.9588617383235385,0.7690759443625778,iPSCs_0
SLIRP,88.63599,1.4344556,0.0,0.0,0.8935972780699041,0.6031580586804682,iPSCs_0
UST,88.525475,2.0100963,0.0,0.0,0.7450510361892979,0.3183936551294493,iPSCs_0
PAICS,88.29387,1.6342001,0.0,0.0,0.8427157438911228,0.46453174232349737,iPSCs_0
MSH2,87.99255,1.7319828,0.0,0.0,0.8093102381688834,0.4087146126106698,iPSCs_0
MAD2L2,87.94067,2.081637,0.0,0.0,0.7032168264769564,0.27652182247301393,iPSCs_0
CKS2,87.65781,1.9804815,0.0,0.0,0.7636096504794309,0.3634882411434185,iPSCs_0
RP11-624M8.1,87.52826,3.76459,0.0,0.0,0.5319362820909372,0.05838095580395117,iPSCs_0
PSIP1,87.33899,1.5514648,0.0,0.0,0.8647540983606558,0.5152571613413363,iPSCs_0
FGD4,87.33744,1.8430572,0.0,0.0,0.7677853386947108,0.36596820376427175,iPSCs_0
TMEM178B,86.76989,3.6687586,0.0,0.0,0.5335601608413238,0.06961866082018474,iPSCs_0
UQCRH,86.69659,0.92990553,0.0,0.0,0.9826786266625426,0.8986689669218513,iPSCs_0
MDN1,86.62363,1.827333,0.0,0.0,0.7605938756572842,0.3598940924175442,iPSCs_0
RPL12,86.34853,0.9536725,0.0,0.0,0.9922672440457779,0.9270986833435167,iPSCs_0
NCL,86.179306,1.1709386,0.0,0.0,0.9774203526136716,0.8382273658483989,iPSCs_0
TTN,169.56723,7.249911,0.0,0.0,0.9988053666605403,0.32647715712297853,Cardiomyocytes_1
SLC8A1,167.7767,8.375913,0.0,0.0,0.991361882006984,0.11217390287538442,Cardiomyocytes_1
PDLIM5,164.92204,4.7210674,0.0,0.0,0.9900753537952582,0.47713373636267964,Cardiomyocytes_1
RYR2,163.15988,5.43776,0.0,0.0,0.9853887153096857,0.3452566096423017,Cardiomyocytes_1
MYL4,163.06711,6.439735,0.0,0.0,0.9806101819518471,0.18841427051298543,Cardiomyocytes_1
CTNNA3,161.55443,5.538752,0.0,0.0,0.97840470501746,0.3557455068464318,Cardiomyocytes_1
MYL7,161.3588,6.7185817,0.0,0.0,0.9903510384120566,0.25421251417813584,Cardiomyocytes_1
TNNI1,160.284,5.74108,0.0,0.0,0.9766587024444036,0.20020112489622188,Cardiomyocytes_1
PLN,159.63518,8.39969,0.0,0.0,0.944587392023525,0.046200259591435824,Cardiomyocytes_1
ACTC1,159.09666,6.8518105,0.0,0.0,0.968296269068186,0.11921327424315065,Cardiomyocytes_1
