"DE","Mesothelium/STM","Foregut","Hepatoblasts","Hepatomesenchyme","Pancreas"
"EPCAM","LHX2","CDH6","ALB","CDH11","SPINK1"
"GATA4","ANKRD1","FOXA1","AFP","ALCAM","AMBP"
"GATA6","PODXL","FOXA2","FGA","MMP2","ANXA4"
"HNF1B","TAGLN","HHEX","APOA2","PDGFRA","PDX1"
"PYY","ISL1","ONECUT1","APOB","PRRX1","NKX6.1"
"CLDN4","VIM","ONECUT2","HNF4A","PRRX2","NKX2.2"
"CER1","ANK2","SOX9","FOX3","MAB21I2","NEUROG3"
"SERPINE2","NPPB","SOX4","MET","GATA3",
"COLEC12","HAND1","APOA1","AHSG",,
"KRT19","HAND2",,,,
,"WT1",,,,
,"TBX18",,,,
,"CDH5",,,,
,"KDR",,,,
,"MESP1",,,,
