"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"POU5F1",0,3.08291844135236,0.94,0.111,0,"iPSC","POU5F1"
"SFRP2",0,2.35382823509939,0.85,0.099,0,"iPSC","SFRP2"
"TUBB2B",0,2.23402037873941,0.918,0.28,0,"iPSC","TUBB2B"
"IGFBP2",0,2.19332722318855,0.883,0.28,0,"iPSC","IGFBP2"
"CD9",0,1.91571999202966,0.825,0.16,0,"iPSC","CD9"
"SEPHS1",0,1.76196348503753,0.753,0.209,0,"iPSC","SEPHS1"
"L1TD1",0,1.72358209309176,0.783,0.193,0,"iPSC","L1TD1"
"DPPA4",0,1.70568145331529,0.667,0.085,0,"iPSC","DPPA4"
"UTF1",0,1.65357365236827,0.504,0.019,0,"iPSC","UTF1"
"PMAIP1",0,1.64622290625945,0.694,0.116,0,"iPSC","PMAIP1"
"FABP5",0,1.57078699810714,0.857,0.391,0,"iPSC","FABP5"
"MIXL1",0,1.55659161560217,0.371,0.053,0,"iPSC","MIXL1"
"UCHL1",0,1.53306801506874,0.696,0.157,0,"iPSC","UCHL1"
"GAL",0,1.52563566224313,0.583,0.109,0,"iPSC","GAL"
"LDHA",0,1.49093224624725,0.899,0.536,0,"iPSC","LDHA"
"LINC00678",0,1.44733067771228,0.444,0.012,0,"iPSC","LINC00678"
"TUBB2A",0,1.42539518831333,0.628,0.167,0,"iPSC","TUBB2A"
"TKT",0,1.40644620872144,0.896,0.501,0,"iPSC","TKT"
"SOX2",0,1.39677514324777,0.449,0.016,0,"iPSC","SOX2"
"PGK1",0,1.39562924189412,0.86,0.569,0,"iPSC","PGK1"
"THY1",0,1.3934050964235,0.495,0.099,0,"iPSC","THY1"
"BNIP3",0,1.34754156298324,0.791,0.466,0,"iPSC","BNIP3"
"TDGF1",0,1.34744581949675,0.687,0.152,0,"iPSC","TDGF1"
"PSAT1",0,1.34327231151882,0.654,0.191,0,"iPSC","PSAT1"
"VASH2",0,1.33564415040936,0.432,0.042,0,"iPSC","VASH2"
